Name,Task,Phase,Trial,Leg,StartTime,EndTime
284,Path Integration,NA,2,1,2023-10-12T02:38:04Z,2023-10-12T02:38:16Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:38:16Z,2023-10-12T02:38:33Z
284,Path Integration,NA,2,2,2023-10-12T02:38:33Z,2023-10-12T02:38:47Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:38:47Z,2023-10-12T02:39:02Z
284,Path Integration,NA,2,3,2023-10-12T02:39:02Z,2023-10-12T02:40:44Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:40:44Z,2023-10-12T02:40:59Z
284,Path Integration,NA,3,1,2023-10-12T02:40:59Z,2023-10-12T02:41:22Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:41:22Z,2023-10-12T02:41:38Z
284,Path Integration,NA,3,2,2023-10-12T02:41:38Z,2023-10-12T02:42:00Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:42:00Z,2023-10-12T02:42:16Z
284,Path Integration,NA,3,3,2023-10-12T02:42:16Z,2023-10-12T02:43:49Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:43:49Z,2023-10-12T02:44:04Z
284,Path Integration,NA,4,1,2023-10-12T02:44:04Z,2023-10-12T02:44:15Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:44:15Z,2023-10-12T02:44:31Z
284,Path Integration,NA,4,2,2023-10-12T02:44:31Z,2023-10-12T02:45:25Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:45:25Z,2023-10-12T02:45:41Z
284,Path Integration,NA,4,3,2023-10-12T02:45:41Z,2023-10-12T02:46:41Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:46:41Z,2023-10-12T02:46:55Z
284,Path Integration,NA,5,1,2023-10-12T02:46:55Z,2023-10-12T02:47:10Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:47:10Z,2023-10-12T02:47:26Z
284,Path Integration,NA,5,2,2023-10-12T02:47:26Z,2023-10-12T02:48:13Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:48:13Z,2023-10-12T02:48:29Z
284,Path Integration,NA,5,3,2023-10-12T02:48:29Z,2023-10-12T02:49:48Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:49:48Z,2023-10-12T02:50:02Z
284,Path Integration,NA,6,1,2023-10-12T02:50:02Z,2023-10-12T02:50:32Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:50:32Z,2023-10-12T02:50:50Z
284,Path Integration,NA,6,2,2023-10-12T02:50:50Z,2023-10-12T02:51:15Z
